Input,Output
yellow dragon swimming,"A serene yellow dragon swimming in a cyberpunk style, --stylize 500"
purple house climbing,"A dark purple house climbing in a surreal style, --hd"
white tree sitting,"A dark white tree sitting in a oil painting style, --ar 16:9"
purple mountain swimming,"A bright purple mountain swimming in a oil painting style, --stylize 500"
blue robot standing,"A eerie blue robot standing in a pop art style, --stylize 1000"
green tree standing,"A serene green tree standing in a photorealistic style, --stylize 500"
pink tree sleeping,"A futuristic pink tree sleeping in a minimalist style, --ar 4:3"
brown house dancing,"A vibrant brown house dancing in a digital art style, --ar 4:3"
orange cat climbing,"A mysterious orange cat climbing in a cyberpunk style, --no blur"
purple robot lounging,"A whimsical purple robot lounging in a photorealistic style, --hd"
white dragon swimming,"A eerie white dragon swimming in a surreal style, --v 5"
pink dragon running,"A vibrant pink dragon running in a steampunk style, --stylize 1000"
red person sitting,"A mysterious red person sitting in a surreal style, --v 4"
black mountain sleeping,"A serene black mountain sleeping in a minimalist style, --q 3"
green dragon swimming,"A whimsical green dragon swimming in a pop art style, --ar 4:3"
purple dog dancing,"A dark purple dog dancing in a minimalist style, --ar 4:3"
red cat jumping,"A dramatic red cat jumping in a minimalist style, --q 3"
pink bird standing,"A futuristic pink bird standing in a cyberpunk style, --ar 4:3"
brown tree swimming,"A vibrant brown tree swimming in a photorealistic style, --stylize 1000"
yellow dragon climbing,"A whimsical yellow dragon climbing in a cyberpunk style, --stylize 1000"
purple car sleeping,"A serene purple car sleeping in a cyberpunk style, --stylize 500"
orange tree jumping,"A bright orange tree jumping in a surreal style, --stylize 1000"
black cat running,"A futuristic black cat running in a digital art style, --ar 4:3"
white tree lounging,"A dramatic white tree lounging in a watercolor style, --no blur"
purple robot flying,"A romantic purple robot flying in a digital art style, --q 2"
brown dragon swimming,"A romantic brown dragon swimming in a digital art style, --v 5"
red bird lounging,"A bright red bird lounging in a steampunk style, --stylize 500"
red dragon sleeping,"A vibrant red dragon sleeping in a watercolor style, --ar 4:3"
purple bird swimming,"A romantic purple bird swimming in a sketch style, --stylize 500"
purple tree sleeping,"A mysterious purple tree sleeping in a sketch style, --no blur"
black tree lounging,"A vibrant black tree lounging in a watercolor style, --q 3"
pink bird running,"A bright pink bird running in a digital art style, --v 4"
green dog sitting,"A serene green dog sitting in a steampunk style, --no blur"
purple mountain jumping,"A vibrant purple mountain jumping in a minimalist style, --ar 16:9"
white robot jumping,"A eerie white robot jumping in a digital art style, --stylize 500"
red cat flying,"A mysterious red cat flying in a digital art style, --v 5"
white dragon running,"A bright white dragon running in a oil painting style, --stylize 500"
white bird sitting,"A futuristic white bird sitting in a surreal style, --ar 16:9"
pink tree running,"A whimsical pink tree running in a photorealistic style, --q 2"
yellow person standing,"A dark yellow person standing in a surreal style, --ar 16:9"
black tree dancing,"A eerie black tree dancing in a steampunk style, --no blur"
green house flying,"A vibrant green house flying in a cyberpunk style, --no blur"
white bird running,"A vibrant white bird running in a surreal style, --ar 4:3"
white tree jumping,"A vibrant white tree jumping in a digital art style, --ar 16:9"
orange person flying,"A whimsical orange person flying in a photorealistic style, --hd"
red dragon sitting,"A futuristic red dragon sitting in a surreal style, --ar 4:3"
blue tree sitting,"A mysterious blue tree sitting in a pop art style, --hd"
black dog jumping,"A mysterious black dog jumping in a watercolor style, --ar 16:9"
brown car sleeping,"A dramatic brown car sleeping in a sketch style, --stylize 500"
purple bird jumping,"A romantic purple bird jumping in a minimalist style, --stylize 1000"
orange dragon jumping,"A romantic orange dragon jumping in a watercolor style, --no blur"
black tree sleeping,"A whimsical black tree sleeping in a cyberpunk style, --no blur"
brown person running,"A futuristic brown person running in a minimalist style, --hd"
green cat sleeping,"A dark green cat sleeping in a oil painting style, --v 4"
blue mountain jumping,"A bright blue mountain jumping in a watercolor style, --ar 4:3"
red house swimming,"A dark red house swimming in a digital art style, --hd"
green mountain dancing,"A futuristic green mountain dancing in a watercolor style, --q 2"
brown car lounging,"A vibrant brown car lounging in a digital art style, --q 2"
pink mountain standing,"A dark pink mountain standing in a photorealistic style, --no blur"
black robot jumping,"A dramatic black robot jumping in a photorealistic style, --no blur"
white cat climbing,"A eerie white cat climbing in a surreal style, --ar 16:9"
purple dog lounging,"A dramatic purple dog lounging in a surreal style, --q 2"
purple car climbing,"A dramatic purple car climbing in a steampunk style, --v 4"
blue house sitting,"A vibrant blue house sitting in a photorealistic style, --v 5"
red mountain dancing,"A romantic red mountain dancing in a photorealistic style, --q 3"
yellow dog dancing,"A vibrant yellow dog dancing in a digital art style, --hd"
white cat swimming,"A dark white cat swimming in a steampunk style, --ar 4:3"
pink tree sitting,"A eerie pink tree sitting in a minimalist style, --hd"
yellow robot flying,"A dark yellow robot flying in a cyberpunk style, --v 5"
brown dog sleeping,"A dramatic brown dog sleeping in a oil painting style, --stylize 1000"
white dog standing,"A futuristic white dog standing in a oil painting style, --v 4"
green person running,"A dark green person running in a oil painting style, --v 5"
white tree sleeping,"A futuristic white tree sleeping in a photorealistic style, --q 3"
red bird climbing,"A dramatic red bird climbing in a surreal style, --v 4"
white tree running,"A dark white tree running in a oil painting style, --no blur"
pink dragon running,"A vibrant pink dragon running in a sketch style, --q 2"
orange cat swimming,"A serene orange cat swimming in a steampunk style, --ar 16:9"
white dragon jumping,"A dramatic white dragon jumping in a minimalist style, --v 4"
white dog flying,"A bright white dog flying in a watercolor style, --stylize 1000"
black cat swimming,"A dramatic black cat swimming in a watercolor style, --stylize 500"
orange house flying,"A romantic orange house flying in a pop art style, --stylize 1000"
black mountain climbing,"A vibrant black mountain climbing in a oil painting style, --q 2"
brown bird running,"A bright brown bird running in a steampunk style, --stylize 1000"
black dragon running,"A vibrant black dragon running in a cyberpunk style, --stylize 1000"
blue car swimming,"A mysterious blue car swimming in a oil painting style, --stylize 500"
red person swimming,"A eerie red person swimming in a oil painting style, --hd"
green tree flying,"A romantic green tree flying in a digital art style, --stylize 1000"
white tree sleeping,"A mysterious white tree sleeping in a sketch style, --q 2"
white cat standing,"A dark white cat standing in a cyberpunk style, --stylize 1000"
brown bird sleeping,"A bright brown bird sleeping in a oil painting style, --v 4"
orange person sleeping,"A mysterious orange person sleeping in a watercolor style, --stylize 1000"
red cat dancing,"A romantic red cat dancing in a sketch style, --v 5"
white tree flying,"A eerie white tree flying in a surreal style, --hd"
red dragon sitting,"A dramatic red dragon sitting in a oil painting style, --q 3"
yellow tree standing,"A romantic yellow tree standing in a photorealistic style, --stylize 500"
pink dog jumping,"A futuristic pink dog jumping in a minimalist style, --stylize 1000"
brown car running,"A whimsical brown car running in a steampunk style, --ar 4:3"
purple person jumping,"A eerie purple person jumping in a minimalist style, --stylize 500"
blue robot lounging,"A mysterious blue robot lounging in a surreal style, --hd"
yellow mountain swimming,"A whimsical yellow mountain swimming in a surreal style, --q 2"
green tree standing,"A mysterious green tree standing in a minimalist style, --hd"
